Latitude,Longitude,Category
51.5185518,-0.1420579,starbucks
51.5185518,-0.1420579,starbucks
51.5185518,-0.1420579,starbucks
51.5185518,-0.1420579,starbucks
51.5185518,-0.1420579,starbucks
51.410792,-0.15191,starbucks
51.51791949,-0.15566806,starbucks
51.4936623,-0.17058015,starbucks
51.51228199,-0.18626984,starbucks
51.483718,-0.187894,starbucks
51.483718,-0.187894,starbucks
51.483718,-0.187894,starbucks
51.51492075,-0.20395322,starbucks
51.512805,-0.213503,starbucks
51.5098789,-0.2160701,starbucks
51.5098789,-0.2160701,starbucks
51.49228206,-0.22158,starbucks
51.49222613,-0.22366063,starbucks
51.4772246,-0.2285894,starbucks
51.4772246,-0.2285894,starbucks
51.463873,-0.254563,starbucks
51.463873,-0.254563,starbucks
51.47189438,-0.47595843,starbucks
51.47151345,-0.48846163,starbucks
51.4551164,-0.5086841,starbucks
51.4551164,-0.5086841,starbucks
51.76765492,0.0949576,coffee
51.76765492,0.0949576,coffee
51.7406635,0.0585165,coffee
51.65184102,-0.05927768,coffee
51.65184102,-0.05927768,coffee
51.604519,-0.18576,coffee
51.5855446,-0.3615823,coffee
51.5855446,-0.3615823,coffee
51.57861515,-0.12383791,coffee
51.57861515,-0.12383791,coffee
51.56637544,-0.10411158,coffee
51.56637544,-0.10411158,coffee
51.564585,-0.170246,coffee
51.564585,-0.170246,coffee
51.56156672,-0.07372163,coffee
51.56156672,-0.07372163,coffee
51.56156672,-0.07372163,coffee
51.56156672,-0.07372163,coffee
51.5592054,-0.1142246,coffee
51.5592054,-0.1142246,coffee
51.5582654,-0.1435046,coffee
51.5582654,-0.1435046,coffee
51.55309,-0.403988,coffee
51.54863041,-0.53387662,coffee
51.54863041,-0.53387662,coffee
51.54863041,-0.53387662,coffee
51.54863041,-0.53387662,coffee
51.54578683,-0.0742857,coffee
51.54578683,-0.0742857,coffee
51.5455399,-0.064072,coffee
51.5455399,-0.064072,coffee
51.5455399,-0.064072,coffee
51.5455399,-0.064072,coffee
51.53882365,-0.14301041,coffee
51.53882365,-0.14301041,coffee
51.52825779,0.00562269,coffee
51.52825779,0.00562269,coffee
51.5276604,-0.088896,coffee
51.5276604,-0.088896,coffee
51.52732892,-0.18396702,coffee
51.5270921,-0.0823882,coffee
51.5270921,-0.0823882,coffee
51.52654425,-0.11524377,coffee
51.52654425,-0.11524377,coffee
51.5256805,-0.0995047,coffee
51.5256805,-0.0995047,coffee
51.525263,-0.537802,coffee
51.525263,-0.537802,coffee
51.52470259,-0.08677614,coffee
51.52470259,-0.08677614,coffee
51.5240936,-0.0968426,coffee
51.5240936,-0.0968426,coffee
51.52315079,-0.13082348,coffee
51.52315079,-0.13082348,coffee
51.52255738,-0.10242877,coffee
51.52255738,-0.10242877,coffee
51.52153442,-0.08690896,coffee
51.52153442,-0.08690896,coffee
51.52143627,-0.11824694,coffee
51.52143627,-0.11824694,coffee
51.520905,-0.103675,coffee
51.520905,-0.103675,coffee
51.520905,-0.103675,coffee
51.520905,-0.103675,coffee
51.520905,-0.103675,coffee
51.520905,-0.103675,coffee
51.5207415,-0.07184174,coffee
51.5207415,-0.07184174,coffee
51.52030564,-0.07269482,coffee
51.52030564,-0.07269482,coffee
51.5201523,-0.071516,coffee
51.5201523,-0.071516,coffee
51.5188065,-0.1545745,coffee
51.5188065,-0.1545745,coffee
51.5188065,-0.1545745,coffee
51.5188065,-0.1545745,coffee
51.5188065,-0.1545745,coffee
51.5188065,-0.1545745,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.518605,-0.104501,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.5185518,-0.1420579,coffee
51.51813482,-0.05871106,coffee
51.51813482,-0.05871106,coffee
51.5179974,-0.150591,coffee
51.5179974,-0.150591,coffee
51.51752555,-0.14250676,coffee
51.51752555,-0.14250676,coffee
51.51735021,-0.1219043,coffee
51.51735021,-0.1219043,coffee
51.51676316,-0.11899195,coffee
51.51676316,-0.11899195,coffee
51.5162,-0.1121,coffee
51.5162,-0.1121,coffee
51.51458558,-0.08055369,coffee
51.51458558,-0.08055369,coffee
51.51458558,-0.08055369,coffee
51.51458558,-0.08055369,coffee
51.51458558,-0.08055369,coffee
51.51458558,-0.08055369,coffee
51.5144,-0.1265,coffee
51.5144,-0.1265,coffee
51.51355,-0.13896,coffee
51.51355,-0.13896,coffee
51.51355,-0.13896,coffee
51.51355,-0.13896,coffee
51.51355,-0.13896,coffee
51.51355,-0.13896,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.51330224,-0.13134784,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.512805,-0.213503,coffee
51.51270934,-0.1313383,coffee
51.51270934,-0.1313383,coffee
51.51261939,-0.12759026,coffee
51.51261939,-0.12759026,coffee
51.5125,-0.1476,coffee
51.5125,-0.1476,coffee
51.5124207,-0.1383609,coffee
51.5124207,-0.1383609,coffee
51.51163674,-0.13698691,coffee
51.51163674,-0.13698691,coffee
51.5104256,-0.1387973,coffee
51.5104256,-0.1387973,coffee
51.5098789,-0.2160701,coffee
51.5098789,-0.2160701,coffee
51.5098789,-0.2160701,coffee
51.5098789,-0.2160701,coffee
51.5098789,-0.2160701,coffee
51.5098789,-0.2160701,coffee
51.50954,-0.12758,coffee
